time,blinking times per minute
10:30,10
10:31,22
10:32,43
10:33,11
10:34,12
10:35,13
10:36,22
10:37,25
10:38,27
10:39,29
10:40,10
10:41,12
10:42,42
10:43,16
10:44,51
10:45,18
10:46,15
10:47,34
10:48,38
10:49,5
10:50,42
10:51,44
10:52,30
10:53,36
10:54,12
10:55,5
10:56,37
10:57,35
10:58,52
10:59,48
11:00,23
11:01,52
11:02,52
11:03,44
11:04,10
11:05,5
11:06,36
11:07,39
11:08,7
11:09,48
11:10,12
11:11,50
11:12,16
11:13,15
11:14,11
11:15,47
11:16,31
11:17,32
11:18,7
11:19,39
11:20,6
11:21,38
11:22,48
11:23,8
11:24,32
11:25,26
11:26,6
11:27,12
11:28,15
11:29,34
11:30,43
